atasozu;kullanim_alani
kardeþ kardeþi atmýþ, yar baþýnda tutmuþ;toplum
kara haber tez duyulur;toplum
kalýp kýyafetle adam, adam olmaz;eðitim
kaný kanla yumazlar, kaný su ile yurlar;psikoloji
"karga, kekliði taklit edeyim demiþ; kendi yürüyüþünü þaþýrmýþ";hayat
karga yavrusuna bakmýþ, “benim ak-pak evlâdým” demiþ;psikoloji
kartala bir ok deðmiþ, o da kendi yeleðinden;hayat
kanatsýz kuþ uçmaz (olmaz);iþ
kâr, zararýn kardeþidir (ortaðýdýr);toplum
katýra “baban kim?” demiþler, “dayým attýr” demiþ;psikoloji
kaynayan kazan kapak tutmaz;hayat
kanaat gibi devlet olmaz;iþ
kazanmayanýn kazaný kaynamaz;hayat
kaza geliyorum demez;hayat
kaz gelen yerden tavuk esirgenmez;iþ
kazma elin kuyusunu, kazarlar kuyunu;toplum
keçi can derdinde, kasap yað derdinde;toplum
kalp kalbe karþýdýr;psikoloji
keçiyi yardan uçuran bir tutam ottur;toplum
keçi nereye çýkarsa oðlaðý da oraya çýkar;aile
kedinin boynuna ciðer asýlmaz;aile
kedi uzanamadýðý (yetiþemediði) ciðere pis (murdar) der;toplum
kelin ilâcý olsa baþýna sürer;psikoloji
kele, köseden yardým gelmez;toplum
kel ölür sýrma saçlý olur, kör ölür badem gözlü olur;toplum
kendi düþen aðlamaz;hayat
kesilen baþ yerine konmaz;toplum
kem göz, kalp akçe sahibinindir;psikoloji
keskin sirke küpüne (kabýna) zarar verir;toplum
kýr atýn yanýnda duran ya huyundan ya suyundan;hayat
kýlýç kýnýný kesmez;toplum
kýsmetinde ne varsa kaþýðýna o çýkar;aile
kýrk yýllýk kâni, olur mu yani;aile
kýzýný dövmeyen, dizini döver;hayat
kýzý gönlüne (keyfine) býrakýrsan ya davulcuya varýr, ya zurnacýya;toplum
kimi köprü bulamaz geçmeye, kimi su bulamaz içmeye;toplum
kimse ayraným (yoðurdum) ekþi demez;toplum
kiminin parasý, kiminin duasý;toplum
kimseden kimseye hayýr yok (gelmez);toplum
koça boynuzu yük deðil;hayat
kimsenin âhý kimsede kalmaz;hayat
komþunun tavuðu komþuya kaz görünür;toplum
komþu komþunun külüne muhtaçtýr;toplum
koyunun bulunmadýðý yerde keçiye abdurrahman çelebi derler;toplum
köpeðe gem vurma kendisini at sanýr;psikoloji
korkunun ecele faydasý yoktur;hayat
köpek ekmek veren kapýyý tanýr;toplum
kork, allah’tan korkmayandan;toplum
köpek sahibini ýsýrmaz;toplum
korku daðlarý bekletir;psikoloji
köpeksiz sürüye (köye) kurt dalar (iner);toplum
korkulu rüya (düþ) görmektense uyanýk yatmak yeðdir (hayýrlýdýr);psikoloji
kötü komþu insaný (adamý) hacet sahibi eder;toplum
körle yatan þaþý kalkar (i?tle yatan bitle kalkar);psikoloji
körler memleketinde þaþýlar padiþah olur;toplum
kötülük her kiþinin kârý, iyilik er kiþinin kârý;ahlak
kul azmayýnca hak yazmaz;ahlak
köprüyü geçinceye kadar ayýya dayý derler;psikoloji
kurt dumanlý havayý sever;hayat
"kurda, “neden boynun (ensen) kalýn?” demiþler; “i?þimi kendim görürüm de ondan” demiþ";hayat
kurt kocayýnca köpeklere maskara olur;toplum
kul sýkýþmayýnca hýzýr yetiþmez;toplum
kusursuz dost arayan dostsuz kalýr;ahlak
kötü söyleme eþine, aðu katar aþýna;hayat
kurt tüyünü (köyünü) deðiþtirir, huyunu deðiþtirmez;iþ
kurunun yanýnda yaþ da yanar;toplum
kuru lâf karýn doyurmaz;aile
kul hatasýz (kusursuz) olmaz;hayat
kuzguna yavrusu güzel (anka) görünür;iþ
küçük suda büyük balýk olmaz;iþ
kürkçünün kürkü olmaz, börkçünün börkü;toplum
lâfla peynir gemisi yürümez;hayat
mahkeme kadýya mülk deðil;toplum
mal bulunur, can bulunmaz;toplum
mal canýn yongasýdýr;toplum
lâf torbaya girmez;iþ
lokma çiðnenmeden yutulmaz;iþ
mart kapýdan baktýrýr, kazma-kürek yaktýrýr;hayat
mart’ta yaðmaz, nisan’da dinmezse sabanlar altýn olur;iþ
mayasýz yoðurt çalýnmaz (tutmaz);iþ
maþa varken elini ateþe sokma;psikoloji
mazlumun âhý, indirir þahý (yerde kalmaz);ahlak
mermer iyi taþtan, iyilik iki baþtan;toplum
merhametten maraz doðar;psikoloji
mescide gerek olan meyhaneye haramdýr;ahlak
meyveli aðacý taþlarlar;toplum
lodosun gözü yaþlý olur;hayat
leyleðin ömrü laklakla geçer;toplum
minareyi çalan kýlýfýný hazýrlar;toplum
mirî malý balýk kýlçýðýdýr, yutulmaz;toplum
mýzrak çuvala sýðmaz (girmez);toplum
misafir kýsmeti ile gelir;toplum
lâtife lâtif gerek;toplum
misafir üç gün misafirdir;toplum
misafir umduðunu deðil, bulduðunu yer;ahlak
"misafir on kýsmetle gelir; birini yer dokuzunu býrakýr";toplum
mürüvvete endaze olmaz;toplum
muhabbet iki baþtan;toplum
mühür kimde ise süleyman odur;psikoloji
mum dibine ýþýk vermez;toplum
ne doðrarsan aþýna, o çýkar kaþýðýna;toplum
ne karanlýkta yat, ne kara düþ gör;toplum
nerde birlik, orda dirlik;toplum
ne oldum dememeli, ne olacaðým demeli;toplum
namaza meyli olmayanýn kulaðý ezanda olmaz;ahlak
ne ekersen onu biçersin;iþ
nerde hareket, orda bereket;iþ
ne verirsen elinle, o gider seninle;ahlak
niyet hayýr, akýbet hayýr (selâmet);iþ
nisan yaðmuru altýn araba, gümüþ tekerlek;hayat
ne yavuz (azgýn) ol asýl, ne yavaþ (þaþkýn, miskin) ol basýl;iþ
oduncunun gözü omçada, dilencinin gözü çömçede;toplum
olan dört baðlar, olmayan dert baðlar;hayat
olacakla öleceðe çare bulunmaz;hayat
otu çek, köküne bak;toplum
osmanlýnýn ayaðý üzengide gerek;toplum
ortak (kuma) gemisi yürümüþ, elti gemisi yürümemiþ;toplum
olsa ile bulsayý ekmiþler, hiç bitmiþ (yel ile yuf bitmiþ);hayat
oynamasýný bilmeyen gelin yerim dar demiþ;toplum
otuz iki diþten çýkan, otuz iki mahalleye yayýlýr;hayat
oturduðu ahýr sekisi, çaðýrdýðý i?stanbul türküsü;psikoloji
öküze boynuzu yük deðil;toplum
öfkeyle kalkan, zararla (ziyanla) oturur;toplum
ödünç güle güle gider, aðlaya aðlaya gelir;psikoloji
ölmüþ eþek, kurttan korkmaz;toplum
ölenle ölünmez;toplum
önce can, sonra canan;toplum
ölüm ile öç alýnmaz;toplum
ölüm kalým (dirim) bizim için;toplum
öpülecek el ýsýrýlmaz;toplum
önce düþün, sonra söyle;psikoloji
padiþahýn bile arkasýndan kýlýç sallarlar;toplum
paranýn yüzü sýcaktýr;toplum
para ile imanýn kimde olduðu belli olmaz (bilinmez);toplum
papaz her gün pilâv yemez;toplum
perþembenin geliþi çarþambadan bellidir;toplum
parayý veren düdüðü çalar;iþ
para parayý çeker;toplum
pilâvdan dönenin kaþýðý kýrýlsýn;toplum
pilâv yiyen, kaþýðýný yanýnda (belinde) taþýr;iþ
püf demeye dudak ister;iþ
rüzgâr esmeyince yaprak kýpýrdamaz (dal oynamaz);psikoloji
rüþvet kapýdan girince iman bacadan çýkar;toplum
rüzgâr eken, fýrtýna biçer;ahlak
rüzgârýn önüne düþmeyen yorulur;hayat
ramazanda yalan söyleyenin (oruç yiyenin) bayramda yüzü kara olur;toplum
sabah ola, hayýr ola (gele);iþ
sabýr acý ise de (acýdýr) meyvesi tatlýdýr;toplum
sabreyle iþine, hayýr gelsin baþýna;toplum
sabreden derviþ, muradýna ermiþ;iþ
saçýn ak mý kara mý, önüne düþünce görürsün;hayat
sabrýn sonu selâmettir;toplum
sefa ile yenen cefa ile kazanýlýr;toplum
sadýk dost akrabadan yeðdir;toplum
saðýr iþitmez, uydurur (yakýþtýrýr);iþ
sað elinin verdiðini sol elin görmesin;iþ
sað baþ yastýk istemez;toplum
sakla samaný, gelir zamaný;toplum
sakýnýlan göze çöp batar;hayat
sahipsiz eve it buyruk;ahlak
saðlýk, varlýktan yeðdir;toplum
sana vereyim bir öðüt: kendin ununu kendin öðüt;toplum
sanatýný ustadan öðrenmeyen (görmeyen) öðrenemez;ahlak
sana taþla vurana, sen aþla vur (dokun);toplum
sanat altýn bileziktir;toplum
sel gider kum kalýr (kiþi ettiðini bulur);iþ
sayýlý koyunu kurt kapmaz;hayat
sebepsiz kuþ bile uçmaz;toplum
sarýmsaðý gelin etmiþler, kýrk gün kokusu çýkmamýþ;toplum
sen iþten korkma, iþ senden korksun;toplum
"sen aða, ben aða; bu ineði kim saða?";toplum
sen iþlersen mal iþler, insan öyle geniþler;hayat
sayýlý gün tez geçer;iþ
sermayen bir yumurta ise taþa çal;toplum
serçeden korkan darý ekmez;toplum
seyrek git sen (sýkça varma) dostuna, kalksýn ayak üstüne;iþ
sevda geçer yalan olur, sonra sokar yýlan olur;toplum
sýçan çýktýðý deliði bilir;toplum
sýçan geçer yol olur;iþ
sinek küçüktür ama mide bulandýrýr;psikoloji
soðanýn acýsýný yiyen bilmez doðrayan bilir;hayat
sinek pekmezciyi tanýr;iþ
sona kalan dona kalýr;iþ
son piþmanlýk fayda vermez;toplum
sonradan gelen devlet, devlet deðildir;toplum
soran yanýlmamýþ;toplum
sora sora baðdat bulunur;toplum
sorma kiþinin aslýný, sohbetinden bellidir;toplum
söz aðýzdan çýkar;toplum
söyleyenden dinleyen ârif gerek;toplum
söz var iþ bitirir, söz var baþ yitirir;psikoloji
"sözünü bil, piþir; aðzýnda der, devþir";toplum
söz gümüþse, sükût altýndýr;toplum
su akarken testiyi doldurmalý;iþ
su bulununca (görülünce) teyemmüm bozulur;toplum
su bulanmayýnca durulmaz;toplum
su küçüðün, söz (sofra) büyüðün;iþ
su uyur, düþman uyumaz;toplum
su testisi su yolunda kýrýlýr;psikoloji
sükût ikrardan gelir;toplum
suyun yavaþ akanýndan, insanýn yere bakanýndan kork;toplum
sütten aðzý yanan, yoðurdu üfleyerek yer;toplum
sürüden ayrýlaný (ayrýlan kuzuyu, koyunu) kurt kapar (yer);toplum
þeriatýn kestiði parmak acýmaz;toplum
þahin, sinek avlamaz;toplum
þap ile þeker bir deðil;toplum
þakanýn sonu kakadýr;toplum
þeytanýn dostluðu daraðacýna kadardýr;toplum
þeytanla kabak ekenin, kabak baþýna patlar;toplum
þöhret afettir;toplum
þimþek çakmadan gök gürlemez;toplum
tan yeri aðarýnca hýrsýzýn gözü kararýr;toplum
tarlanýn iyisi suya yakýn, daha iyisi eve yakýn;hayat
tarlada izi olmayanýn, harmanda yüzü olmaz;hayat
taþa çýkan keçinin, aðaca çýkan oðlaðý olur;toplum
tarlaya saban, sürüye çoban;iþ
taþ düþtüðü yerde aðýrdýr (taþ yerinde aðýrdýr);toplum
taþýma (dökme) su ile deðirmen dönmez;iþ
tavþan daða küsmüþ, daðýn haberi olmamýþ;psikoloji
tatlý dil yýlaný deliðinden çýkarýr;psikoloji
tatlý ye, tatlý söyle (konuþ);psikoloji
tayfanýn akýllýsý, geminin dümeninden uzak durur;iþ
tek kanatla kuþ uçmaz;hayat
tebdil-i mekânda ferahlýk vardýr;psikoloji
tembele iþ buyur, sana akýl öðretsin;iþ
tekkeyi bekleyen çorbayý içer;iþ
"terazi var, tartý var; her þeyin bir vakti var";toplum
tereciye tere satýlmaz;iþ
testiyi kýran da bir, suyu getiren de;toplum
terzi kendi söküðünü dikemez;iþ
teþbihte (temsilde) hata olmaz;toplum
tevekkelin (tevekküllünün) gemisi batmaz (eþeðini kurt yemez);ahlak
tilkinin dönüp dolaþýp geleceði yer kürkçü dükkânýdýr;toplum
týrnaðýn varsa baþýný kaþý;iþ
tilki tilkiliðini bildirinceye kadar post elden gider;toplum
"tilkiye, “tavuk kebabý yer misin?” diye sormuþlar; “adamý güldürmeyin” diye cevap vermiþ";toplum
tuz, ekmek hakkýný bilmeyen kör olur;ahlak
tok, acýn hâlinden bilmez (var ne bilsin yok hâlinden);toplum
türkün aklý sonradan gelir;psikoloji
topraðý iþleyen, ekmeði diþler;iþ
ucuz alan pahalý alýr (pahalý alan aldanmaz);iþ
ucuzdur vardýr illeti, pahalýdýr vardýr hikmeti;iþ
ucuz etin yahnisi yenmez (tatsýz olur);iþ
ulular köprü olsa basýp geçme;psikoloji
ummadýðýn taþ baþ yarar;toplum
ulu sözü dinlemeyen, uluyakalýr;toplum
ustanýn çekici bin altýn;iþ
umut, fakirin ekmeðidir;hayat
uþaðý iþe koþ, sen de ardýna düþ;iþ
utanma pazar, dostluðu bozar;toplum
uyuyan yýlanýn kuyruðuna basma (basýlmaz);psikoloji
ürüyen köpek ýsýrmaz (kapmaz);toplum
ürümesini (ürmesini) bilmeyen köpek (it), sürüye kurt getirir;toplum
üçlenmemiþ eken, olmamýþ biçer;iþ
üþenenin (utananýn, erinenin) oðlu kýzý olmamýþ;iþ
üzüm üzüme baka baka kararýr;toplum
vakit nakittir;iþ
vakitsiz öten horozun baþýný keserler;toplum
varýný veren utanmamýþ;toplum
"var evi, kerem evi; yok evi, verem evi";ahlak
var ne bilsin yok hâlinden;toplum
"varsa (var mý) pulun, herkes kulun; yoksa (yok mu) pulun, dardýr yolun (paran varsa, cümle âlem kulun; paran yoksa, týmarhane yolun)";toplum
var varlatýr, yok söyletir;toplum
veren eli herkes öper;toplum
verirsen doyur, vurursan duyur;ahlak
verip piþman olmaktansa, vermeyip düþman olmak yeðdir;toplum
verirsen veresiye, batarsýn karasuya;iþ
vermeyince mabud (yaratýcý, allah), neylesin mahmud;iþ
yabancý koyun kenara yatar;toplum
yaðýna kýymayan, çöreðini yavan (yoz, kuru) yer;ahlak
yaðmur yaðsa kýþ deðil mi? kiþi hâlini bilse hoþ deðil mi?;iþ
yakýn (hayýrlý) dost (komþu), hayýrsýz akrabadan (hýsýmdan) yeðdir (iyidir);toplum
yalancýnýn evi yanmýþ, kimse inanmamýþ;toplum
yalancý kim? i?þittiðini söyleyen;toplum
yalancýnýn mumu yatsýya kadar yanar;toplum
yalnýz öküz, çifte (boyunduruða) koþulmaz;toplum
yalnýz taþ duvar olmaz;toplum
yanlýþ hesap baðdat’tan döner;toplum
yarasý olan gocunur;psikoloji
yapý taþý, yapýdan kalmaz;ahlak
yarým elma, gönül (hatýr) alma;ahlak
yarým hekim candan eder, yarým hoca dinden eder;iþ
yarýnki kazdan, bugünkü tavuk yeðdir;hayat
yaþ kesen, baþ keser;toplum
yatan aslandan, gezen tilki yeðdir;toplum
yatanýn, yürüyene borcu var;toplum
yatan kurttan, yeler tilki yeðdir;toplum
yavaþ (yumuþak huylu) atýn çiftesi pek (yavuz) olur;toplum
yavuz at, yemini (yavuz it ününü) kendi artýrýr;toplum
yaza çýkardýk danayý, beðenmez oldu anayý;iþ
yavuz hýrsýz, ev sahibini bastýrýr;iþ
yazýn gölge hoþ, kýþýn çuval boþ;toplum
yazýn gölge kovan, kýþýn karýn ovar;toplum
yazýn baþý piþenin, kýþýn aþý piþer;iþ
yel, kayadan ne koparýr (aparýr);toplum
yeðniði yel alýr, aðýr yerinde kalýr;iþ
yemeyenin malýný yerler (üstüne bir bardak bu içerler);toplum
yerini bilmeyen, yýlda bir kat urba eskitir;toplum
yerdeki yüze basýlmaz (kimse basmaz);iþ
yerin kulaðý var;psikoloji
yýlana yumuþak diye el sunma;toplum
yýl uðursuzundur;toplum
yýlanýn baþý küçükken ezilmeli;toplum
yýrtýcý (alýcý) kuþun ömrü az olur;iþ
yiðidin sözü, demirin kertiði;hayat
yiðidin malý meydandadýr;iþ
yiðit arkasýndan vurulmaz;iþ
yiðit yarasýna yiðit katlanýr;psikoloji
yiðit meydanda belli olur;toplum
yoksul âlâ ata binse, selâm almaz;toplum
yol bilen kervana katýlmaz;toplum
yiðit yiðide at baðýþlar;toplum
yoldan (yol ile) giden yorulmaz;toplum
yolcu yolunda gerek;toplum
yol sormakla bulunur;toplum
yoldan kal, yoldaþtan kalma;toplum
yurdun otlusundan kutlusu yeðdir;toplum
yol yürümekle, borç ödemekle tükenir;toplum
yumurtasýna hor bakan civcivini cýlk eder;toplum
yularsýz ata binilmez;psikoloji
yuvarlanan taþ yosun tutmaz;toplum
yürük ata kamçý deðmez;ahlak
yuvayý yapan diþi kuþtur;toplum
yürük at yemini kendi artýrýr;toplum
yüzü güzel olanýn huyu da güzeldir;toplum
yüz verme arsýz olur, az verme hýrsýz olur;toplum
yüz, yüzden utanýr;toplum
zahirenin ambarý sabanýn ucundadýr;iþ
zahmetsiz rahmet olmaz;iþ
zararýn neresinden dönülse kârdýr;toplum
zenginin malý, züðürdün çenesi yorar;aile
zengin arabasýný daðdan aþýrýr, züðürt düz ovada yolunu þaþýrýr;iþ
zora daðlar dayanmaz;toplum
zýrva tevil götürmez;toplum
zor kapýdan girerse, þeriat bacadan çýkar;toplum
zorla güzellik olmaz;toplum
zor oyunu bozar;iþ
züðürtlük zâdeliði bozar;hayat
zurnada peþrev olmaz (ne çýkarsa bahtýna);hayat
Sabreden sonunda muradýna erer.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Diken sabredince güle döner.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Diken sabredince güle döner.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Diken sabredince güle döner.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Diken sabredince güle döner.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Diken sabredince güle döner.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Diken sabredince güle döner.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Diken sabredince güle döner.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Diken sabredince güle döner.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Diken sabredince güle döner.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Diken sabredince güle döner.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Diken sabredince güle döner.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Diken sabredince güle döner.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Diken sabredince güle döner.;sabýr
Diken sabredince güle döner.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Yaðmurun bile damlasý sabýrla düþer topraða.;sabýr
Sabreden sonunda muradýna erer.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Nehirleri aþanlar, taþlara sabýrla basanlardýr.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
Sabýr, öfkenin terbiye halidir.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Diken sabredince güle döner.;sabýr
Diken sabredince güle döner.;sabýr
Zamaný gelen çiçek açar, sabýrla bekleyen meyvesini alýr.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sessizlik bazen en güçlü sabýrdýr.;sabýr
Sabýr, acýyý bal eyleyen iksirdir.;sabýr
Beklemesini bilen her þeyin sahibidir.;sabýr
Sabýr kar gibidir, altýnda çiçek büyütür.;sabýr
